Approximate Location,Poverty,PM2.5,Asthma,Area Type
Los Angeles,19.9,11.59357465,22.95,Inner LA
Los Angeles,17.2,11.78318303,30.51,Inner LA
Culver City,7.4,11.69361957,39.43,Inner LA
Torrance,12.7,11.89781113,27.26,Inner LA
Los Angeles,20.8,11.63355936,33.43,Inner LA
Burbank,22.2,11.75666562,34.96,Inner LA
Santa Clarita,28.2,10.28609285,52.57,Outer LA
Los Angeles,26.7,11.78493345,22.29,Inner LA
Long Beach,19.0,11.42948394,46.68,Inner LA
Long Beach,51.1,11.55937137,26.3,Inner LA
Diamond Bar,20.8,12.35178857,27.84,Inner LA
Pasadena,50.3,11.2362251,33.74,Inner LA
La Mirada,12.8,11.97039347,37.42,Inner LA
Los Angeles,20.2,11.76734525,25.11,Inner LA
Glendora,11.8,12.14675541,48.79,Inner LA
Val Verde,27.7,8.73436651,29.51,Inner LA
Vincent,17.7,11.85243866,52.36,Inner LA
La Crescenta-Montrose,23.5,11.43450312,22.29,Inner LA
Long Beach,23.6,11.64556074,25.99,Inner LA
Diamond Bar,19.3,12.36302468,27.36,Inner LA
Los Angeles,16.7,11.75842764,39.67,Inner LA
Temple City,24.1,11.79728341,22.34,Inner LA
Claremont,20.9,12.71399453,33.93,Inner LA
Los Angeles,70.8,11.70850449,11.78,Inner LA
Los Angeles,15.9,11.55932918,23.9,Inner LA
Ladera Heights,12.6,11.7994331,55.46,Inner LA
Los Angeles,25.8,11.51704216,31.42,Inner LA
Los Angeles,19.1,11.72613579,31.63,Inner LA
Monterey Park,43.2,11.975764,22.49,Inner LA
Los Angeles,6.9,11.74135383,49.77,Inner LA
Los Angeles,22.5,12.01395483,65.4,Inner LA
Los Angeles,18.8,10.84104549,63.98,Inner LA
West Covina,12.3,12.13729695,45.89,Inner LA
Covina,15.6,12.17423833,47.7,Inner LA
Santa Clarita,14.2,9.696435756,46.47,Outer LA
Los Angeles,30.1,11.83627425,37.61,Inner LA
Pomona,16.2,12.37523949,43.59,Inner LA
